id,type_of_account,type_of_account_2,type_of_account_3
1,1,5,1
2,5,5,1
3,5,1,6
4,6,6,6
5,4,1,1
6,5,6,6
7,4,5,4
8,5,1,2
9,4,1,1
10,4,5,3
11,1,1,1
12,5,5,4
13,3,5,5
14,4,2,2
15,4,1,1
16,4,5,1
17,5,4,5
18,4,5,4
19,4,5,3
20,1,1,1
21,5,5,6
22,4,6,6
23,1,1,1
24,1,1,1
25,4,5,1
26,4,5,2
27,4,5,4
28,4,1,4
29,1,1,2
30,4,1,4
31,4,1,1
32,5,5,4
33,5,5,5
34,4,1,1
35,5,5,1
36,5,5,5
37,5,5,1
38,5,1,1
39,5,5,1
40,1,1,1
41,1,1,2
42,4,5,4
43,5,1,1
44,5,5,3
45,4,1,4
46,1,1,3
47,5,1,1
48,5,4,2
49,5,5,3
50,5,1,1
51,1,1,4
52,1,1,1
53,4,5,3
54,4,5,4
55,4,1,2
56,5,5,3
57,5,1,1
58,6,6,6
59,5,5,5
60,4,4,4
61,4,4,4
62,4,5,2
63,4,5,2
64,4,5,4
65,5,1,1
66,4,1,2
67,4,1,2
68,4,5,4
69,1,1,1
70,1,1,1
71,5,4,2
72,5,5,1
73,5,5,3
74,5,4,3
75,5,1,1
76,5,5,1
77,5,5,1
78,4,5,3
79,4,4,4
80,4,1,2
81,5,6,6
82,5,5,3
83,5,5,1
84,1,1,3
85,1,1,3
86,5,5,1
87,1,1,1
88,4,1,4
89,4,5,4
90,4,4,4
91,4,4,4
92,1,1,1
93,4,1,3
94,4,6,6
95,6,1,6
96,5,5,3
97,5,6,1
98,1,6,1
99,4,4,2
100,5,5,1
101,1,4,5
102,5,5,1
103,4,4,4
104,1,1,5
105,1,1,1
106,5,5,5
107,1,6,2
108,1,6,2
109,1,6,6
110,5,5,5
111,4,4,1
112,5,5,5
113,1,1,4
114,4,5,4
115,4,4,1
116,5,5,4
117,4,1,4
118,5,5,3
119,5,4,1
120,5,5,3
121,4,1,4
122,1,1,3
123,1,4,3
124,1,1,1
125,5,6,6
126,2,2,6
127,5,5,5
128,4,1,4
129,5,6,3
130,4,1,1
131,4,4,3
132,5,5,1
133,4,5,4
134,5,6,6
135,1,1,4
136,4,4,3
137,5,5,3
138,4,4,4
139,5,5,3
140,1,1,1
141,4,4,5
142,1,1,1
143,4,5,3
144,5,5,5
145,5,5,1
146,5,5,3
147,4,6,6
148,4,6,6
149,4,4,4
150,1,1,2
151,4,5,3
152,4,4,3
153,4,1,4
154,4,4,4
155,4,4,3
156,5,5,1
157,1,1,1
158,1,1,1
159,5,5,3
160,4,5,3
161,5,5,1
162,5,1,3
163,5,5,3
164,4,1,2
165,4,4,3
166,5,5,5
167,5,1,2
168,1,1,1
169,5,1,3
170,5,4,3
171,4,4,5
172,1,5,1
173,4,4,3
174,5,5,1
175,5,4,5
176,1,4,1
177,4,1,5
178,4,4,4
179,4,6,4
180,5,5,3
181,1,1,3
182,2,1,4
183,5,5,5
184,4,4,2
185,4,1,2
186,5,5,1
187,5,5,3
188,4,1,4
189,5,5,3
190,4,4,2
191,5,5,1
192,5,5,1
193,4,4,4
194,6,4,4
195,4,4,2
196,5,5,1
197,5,5,3
198,4,4,2
199,4,4,2
200,1,1,1
201,1,1,2
202,4,4,4
203,5,4,6
204,4,4,3
205,1,6,1
206,4,4,1
207,4,4,1
208,1,1,1
209,1,5,1
210,5,5,3
211,1,1,1
212,4,4,5
213,1,1,3
214,5,5,2
215,5,4,1
216,4,4,2
217,5,5,3
218,4,4,1
219,4,4,3
220,4,5,4
221,4,4,5
222,4,4,3
223,4,4,4
224,4,4,4
225,5,5,1
226,5,5,1
227,1,5,2
228,5,5,3
229,4,1,4
230,5,5,4
231,5,4,1
232,5,5,1
233,4,4,2
234,4,1,1
235,4,1,1
236,1,4,3
237,5,6,6
238,4,4,4
239,4,6,2
240,4,4,3
241,1,4,5
242,2,1,2
243,1,1,1
244,1,1,4
245,5,5,3
246,4,1,2
247,5,5,3
248,5,5,3
249,4,4,3
250,2,1,2
251,4,4,4
252,1,5,3
253,1,1,1
254,5,5,3
255,4,4,2
256,4,4,5
257,1,1,1
258,1,1,1
259,5,5,1
260,5,5,1
261,5,5,1
262,5,5,3
263,1,1,3
264,1,1,3
265,4,1,2
266,5,5,1
267,5,5,4
268,5,5,3
269,4,4,3
270,5,5,1
271,6,6,3
272,5,5,1
273,5,1,1
274,4,1,2
275,1,1,1
276,4,4,3
277,1,1,3
278,4,4,5
279,5,4,3
280,5,5,3
281,4,1,3
282,5,1,1
283,5,5,3
284,5,5,1
285,1,1,1
286,5,4,4
287,1,1,4
288,5,5,1
289,1,2,3
290,1,5,1
291,5,4,3
292,1,1,1
293,5,5,3
294,5,5,3
295,5,5,3
296,4,4,4
297,5,6,1
298,5,5,1
299,4,4,4
300,5,5,3
301,4,4,3
302,4,4,4
303,5,5,1
304,2,1,2
305,4,1,1
306,4,4,3
307,1,5,3
308,5,1,3
309,4,4,4
310,4,4,1
311,5,5,1
312,1,1,3
313,5,5,3
314,4,4,4
315,5,5,1
316,1,5,3
317,1,5,3
318,5,5,3
319,5,5,4
320,5,5,1
321,5,5,3
322,4,4,4
323,4,4,4
324,4,1,3
325,4,1,2
326,1,1,4
327,4,1,3
328,4,1,3
329,4,4,3
330,4,4,4
331,4,4,3
332,5,5,1
333,1,1,1
334,4,4,3
335,4,4,4
336,1,1,3
337,4,4,3
338,4,4,4
339,4,1,1
340,4,1,3
341,4,1,3
342,1,1,3
343,5,5,3
344,4,4,4
345,4,1,4
346,1,1,4
347,1,1,1
348,1,1,3
349,5,5,2
350,1,1,2
351,5,5,4
352,4,4,2
353,5,1,1
354,1,1,3
355,4,4,1
356,4,4,1
357,1,1,2
358,5,5,3
359,5,5,3
360,4,5,4
361,4,1,4
362,4,4,3
363,5,5,1
364,1,1,3
365,4,4,3
366,5,5,1
367,1,1,3
368,5,5,1
369,4,2,2
370,4,4,4
371,2,2,2
372,5,1,3
373,1,1,1
374,4,4,5
375,4,4,4
376,4,1,4
377,4,1,3
378,5,5,1
379,4,5,3
380,5,5,1
381,5,5,1
382,5,5,1
383,1,5,3
384,5,5,1
385,5,5,3
386,5,5,1
387,1,1,1
388,4,1,4
389,5,5,1
390,4,5,1
391,5,5,3
392,5,5,2
393,5,5,1
394,5,5,3
395,4,4,4
396,5,5,4
397,4,4,4
398,1,1,3
399,5,5,4
400,1,1,3
401,6,6,3
402,5,5,1
403,4,1,4
404,4,1,4
405,4,1,4
406,4,4,3
407,4,4,3
408,5,4,1
409,5,1,1
410,4,1,2
411,4,4,2
412,1,1,4
413,5,1,3
